airline,city,delay
Spirit Air Lines,New Orleans,15.884135472370767
Southwest Airlines Co.,New Orleans,8.139505316689783
Delta Air Lines Inc.,New Orleans,7.79012702078522
Atlantic Southeast Airlines,New Orleans,5.551779935275081
Hawaiian Airlines Inc.,New Orleans,0.0
American Eagle Airlines Inc.,New Orleans,7.2
Virgin America,New Orleans,0.0
United Air Lines Inc.,Oklahoma City,8.598290598290598
American Airlines Inc.,Oklahoma City,5.878787878787879
US Airways Inc.,Oklahoma City,0.0
Frontier Airlines Inc.,Oklahoma City,16.03846153846154
JetBlue Airways,Oklahoma City,0.0
Skywest Airlines Inc.,Oklahoma City,9.968786578228638
Alaska Airlines Inc.,Oklahoma City,0.0
Spirit Air Lines,Oklahoma City,0.0
Southwest Airlines Co.,Oklahoma City,7.498958694897605
Delta Air Lines Inc.,Oklahoma City,5.169241101410343
Atlantic Southeast Airlines,Oklahoma City,10.459506031016657
Hawaiian Airlines Inc.,Oklahoma City,0.0
American Eagle Airlines Inc.,Oklahoma City,13.814520139234212
Virgin America,Oklahoma City,0.0
United Air Lines Inc.,Appleton,0.0
American Airlines Inc.,Appleton,0.0
US Airways Inc.,Appleton,0.0
Frontier Airlines Inc.,Appleton,0.0
JetBlue Airways,Appleton,0.0
Skywest Airlines Inc.,Appleton,5.887981330221703
Alaska Airlines Inc.,Appleton,0.0
Spirit Air Lines,Appleton,0.0
Southwest Airlines Co.,Appleton,0.0
Delta Air Lines Inc.,Appleton,3.6524663677130045
Atlantic Southeast Airlines,Appleton,6.1418826739427015
Hawaiian Airlines Inc.,Appleton,0.0
American Eagle Airlines Inc.,Appleton,0.0
